family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
erdos_renyi,"n=10, p=0.5",256,10,25,raw_emulation,False,False,trivial,7,0.020994,787,0,0,0,0,0,0,True,"[(4, 1.0, 5), (8, 2.0, 10), (16, 2.0, 10), (16, 3.0, 17), (32, 4.0, 28), (32, 5.0, 46), (64, 4.0, 28), (64, 6.0, 71), (128, 8.0, 134), (128, 12.0, 146), (128, 14.0, 146), (128, 15.0, 146)]"
erdos_renyi,"n=10, p=0.5",256,10,25,ablation_prep,True,True,trivial,7,0.004989,77,0,0,0,0,0,0,True,"[(4, 2.0, 6), (8, 4.0, 11), (16, 8.0, 15), (16, 12.0, 15), (16, 14.0, 15), (16, 15.0, 15)]"
erdos_renyi,"n=10, p=0.5",256,10,25,ablation_prep_lb,True,True,maximal_matching,7,0.005314,77,0,0,0,0,0,0,True,"[(1, 4.0, 1), (2, 4.0, 1), (4, 4.0, 1), (4, 5.0, 4), (8, 4.0, 1), (8, 6.0, 9), (16, 8.0, 15), (16, 12.0, 15), (16, 14.0, 15), (16, 15.0, 15)]"
erdos_renyi,"n=10, p=0.5",256,10,25,enhanced_emulation,True,True,maximal_matching,7,0.003825,43,0,0,0,0,0,0,True,"[(1, 4.0, 1), (2, 4.0, 1), (4, 4.0, 1), (4, 5.0, 4), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
erdos_renyi,"n=10, p=0.5",789,10,24,baseline,False,False,trivial,6,0.001024,171,82,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.5",789,10,24,improved,True,True,maximal_matching,6,0.000131,7,3,3,16,9,6,4,True,[]
erdos_renyi,"n=10, p=0.5",789,10,24,raw_emulation,False,False,trivial,6,0.008788,232,0,0,0,0,0,0,True,"[(4, 1.0, 6), (8, 2.0, 12), (16, 2.0, 12), (16, 3.0, 20), (32, 4.0, 31), (32, 5.0, 47), (64, 4.0, 31), (64, 6.0, 73)]"
erdos_renyi,"n=10, p=0.5",789,10,24,ablation_prep,True,True,trivial,6,0.002769,55,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 6), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
erdos_renyi,"n=10, p=0.5",789,10,24,ablation_prep_lb,True,True,maximal_matching,6,0.002991,55,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 5), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
erdos_renyi,"n=10, p=0.5",789,10,24,enhanced_emulation,True,True,maximal_matching,6,0.002915,38,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 4), (8, 8.0, 7), (8, 12.0, 7), (8, 14.0, 7), (8, 15.0, 7)]"
erdos_renyi,"n=10, p=0.5",1024,10,21,baseline,False,False,trivial,7,0.000988,239,117,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.5",1024,10,21,improved,True,True,maximal_matching,7,0.00016,9,4,4,17,13,7,4,True,[]
erdos_renyi,"n=10, p=0.5",1024,10,21,raw_emulation,False,False,trivial,7,0.019598,386,0,0,0,0,0,0,True,"[(8, 1.0, 8), (16, 2.0, 16), (32, 2.0, 16), (32, 3.0, 30), (64, 4.0, 50), (64, 5.0, 76), (128, 8.0, 190)]"
erdos_renyi,"n=10, p=0.5",1024,10,21,ablation_prep,True,True,trivial,7,0.004988,85,0,0,0,0,0,0,True,"[(4, 2.0, 6), (8, 4.0, 11), (16, 8.0, 17), (16, 12.0, 17), (16, 14.0, 17), (16, 15.0, 17)]"
erdos_renyi,"n=10, p=0.5",1024,10,21,ablation_prep_lb,True,True,maximal_matching,7,0.004721,84,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (8, 4.0, 2), (8, 5.0, 8), (16, 8.0, 17), (16, 12.0, 17), (16, 14.0, 17), (16, 15.0, 17)]"
erdos_renyi,"n=10, p=0.5",1024,10,21,enhanced_emulation,True,True,maximal_matching,7,0.002827,48,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 6), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
erdos_renyi,"n=15, p=0.2",42,15,20,baseline,False,False,trivial,7,0.011382,2249,1117,15,0,0,0,0,True,[]
